testname;#prods;startTime;EndTime;Time;equal
model_20110428_1131293346;12;20:59:26:987;20:59:27:006;19;true
model_20110519_1142211980;1;20:59:28:483;20:59:28:487;4;true
model_20110519_503436691;35;20:59:29:885;20:59:29:893;8;true
model_20110525_928187171;16;20:59:31:175;20:59:31:177;2;true
model_20110601_1103941862;11;20:59:32:545;20:59:32:550;5;true
model_20110605_1465859222;112;20:59:33:840;20:59:33:855;15;true
model_20110622_260389190;28;20:59:35:086;20:59:35:091;4;true
model_20110704_555218409;2;20:59:36:283;20:59:36:284;1;true
model_20110718_866950306;60;20:59:37:486;20:59:37:491;5;true
model_20110722_419227445;256;20:59:38:865;20:59:38:884;19;true
model_20110809_1799855518;1620;20:59:40:528;20:59:40:689;161;true
model_20110823_1386366267;52;20:59:42:164;20:59:42:169;5;true
model_20110823_553386338;128;20:59:43:583;20:59:43:585;2;true
model_20110826_1180494500;16;20:59:45:068;20:59:45:069;1;true
model_20110826_1744501275;16;20:59:46:647;20:59:46:648;1;true
model_20110915_1159959623;20;20:59:48:316;20:59:48:317;1;true
