testname;#prods;startTime;EndTime;Time;equal
model_20120201_865979127;1042;22:43:53:951;22:43:54:350;399;true
model_20120202_114979109;69;22:43:55:879;22:43:55:892;13;true
model_20120202_1596034358;28;22:43:57:452;22:43:57:455;3;true
model_20120229_1103715736;462;22:43:58:707;22:43:58:748;40;true
model_20120314_1438691117;1;22:43:59:968;22:43:59:969;1;true
model_20120328_1227899142;1600;22:44:01:363;22:44:01:451;88;true
model_20120328_1309817018;1536;22:44:02:878;22:44:02:895;17;true
model_20120328_1357539597;464;22:44:04:190;22:44:04:210;20;true
model_20120328_1373483522;16;22:44:05:435;22:44:05:436;1;true
model_20120328_288933955;96;22:44:06:673;22:44:06:676;2;true
model_20120328_361613983;108;22:44:07:902;22:44:07:907;5;true
model_20120328_523540818;8;22:44:09:213;22:44:09:215;2;true
model_20120328_593032745;72;22:44:10:560;22:44:10:563;2;true
model_20120328_663906927;4608;22:44:12:476;22:44:12:753;277;true
model_20120328_794090001;12;22:44:14:439;22:44:14:440;1;true
model_20120328_810464459;96;22:44:16:177;22:44:16:180;3;true
