General Fixing Set Statistics
No, File, No.Features, No.Products, Avg. FSLength, Avg. Commo Ratio, Avg. Computation Time
0,FAMA-aircraft_fm.nm,13,315.0,3.6923076923076925,0.3088578088578089,0.0
1,FAMA-arcade_game_pl_fm.nm,61,2.3051013912E10,2.2131147540983607,0.03688524590163933,2.2950819672131146
2,FAMA-car_fm.nm,9,13.0,1.6666666666666667,0.2123015873015873,0.0
3,FAMA-cfdp_library_fm.nm,13,319.0,2.230769230769231,0.18589743589743593,0.0
4,FAMA-connector_fm.nm,20,18.0,1.45,0.12249914559125083,0.0
5,FAMA-DELL-LAPTOP-NOTEBOOK-FM.nm,46,853.0,2.217391304347826,0.06959869296187306,1.0
6,FAMA-fame_dbms_fm.nm,21,320.0,1.6666666666666667,0.08833408307092518,0.0
7,FAMA-GPL.nm,18,62.0,1.5555555555555556,0.10075803825803825,0.0
8,FAMA-model_20091009_1552375070.nm,37,1316772.0,4.702702702702703,0.13168294344764933,0.8648648648648649
9,FAMA-model_20091015_449909368.nm,10,12.0,1.9,0.21388888888888888,0.0
10,FAMA-model_20091129_1734444143.nm,12,84.0,2.0833333333333335,0.18939393939393936,0.0
11,FAMA-model_20091205_755658379.nm,94,2.322432E7,3.978723404255319,0.043350138690990414,8.297872340425531
12,FAMA-model_20091206_1647557456.nm,10,135.0,4.4,0.48888888888888893,0.0
13,FAMA-model_20091210_241985787.nm,16,3645.0,5.9375,0.39583333333333326,0.0
14,FAMA-model_20091210_993249741.nm,29,43008.0,2.7586206896551726,0.09993431855500821,0.0
15,FAMA-model_20091219_494647199.nm,11,16.0,2.3636363636363638,0.23636363636363636,0.0
16,FAMA-model_20091225_1547989376.nm,29,197376.0,3.0344827586206895,0.1091041780696953,0.5172413793103449
17,FAMA-model_20100106_985255768.nm,20,32.0,1.9,0.13122541201488572,0.0
18,FAMA-model_20100213_206550190.nm,38,4920.0,2.5,NaN,0.8157894736842105
19,FAMA-model_20100216_713947806.nm,12,8.0,2.75,0.24999999999999992,0.0
20,FAMA-model_20100308_1032655961.nm,15,61.0,2.066666666666667,0.14945054945054942,1.0
21,FAMA-model_20100308_1355834007.nm,20,4800.0,1.45,0.07690058479532161,0.8
22,FAMA-model_20100321_1548012375.nm,18,16384.0,13.222222222222221,0.777777777777778,0.8333333333333334
23,FAMA-model_20100322_955726153.nm,20,162.0,2.4,0.12719298245614036,0.0
24,FAMA-model_20100324_1996898492.nm,11,8.0,2.727272727272727,0.2727272727272727,0.0
25,FAMA-model_20100325_298677687.nm,11,48.0,2.3636363636363638,0.2515151515151515,0.0
26,FAMA-model_20100326_770562654.nm,27,1152.0,3.6296296296296298,0.15091020091020088,0.5925925925925926
27,FAMA-model_20100412_337845737.nm,10,1.0,0.0,0.0,0.0
28,FAMA-model_20100415_240595643.nm,31,319488.0,2.3548387096774195,0.07868001483129404,0.5161290322580645
29,FAMA-model_20100415_947132043.nm,31,113724.0,2.2903225806451615,0.07652947719688544,0.5161290322580645
30,FAMA-model_20100416_811483774.nm,16,28.0,1.0625,0.1495317182817183,0.0
31,FAMA-model_20100529_1010171189.nm,22,1152.0,1.8636363636363635,0.09330746652728078,0.0
32,FAMA-model_20100607_746327867.nm,20,448.0,3.15,0.175967922256622,0.0
33,FAMA-model_20100624_2076952989.nm,17,444.0,2.6470588235294117,0.16887254901960785,0.0
34,FAMA-model_20100625_251719781.nm,16,3150.0,2.75,0.18333333333333332,1.9375
35,FAMA-model_20100712_329430908.nm,20,640.0,7.0,0.36842105263157876,0.75
36,FAMA-model_20100719_944437142.nm,29,17280.0,6.862068965517241,0.26724254755739013,0.0
37,FAMA-model_20100730_1366577700.nm,32,3.3554432E7,24.21875,0.7812499999999996,0.96875
38,FAMA-model_20100805_1484639410.nm,31,3712.0,7.193548387096774,0.24266898808660176,0.4838709677419355
39,FAMA-movies_app_fm.nm,13,24.0,2.4615384615384617,0.21713286713286706,0.0
40,FAMA-REAL-FM-10.nm,14,48.0,2.0,0.15750915750915748,0.0
41,FAMA-REAL-FM-11.nm,67,6400.0,3.1791044776119404,0.04829349754722886,3.253731343283582
42,FAMA-REAL-FM-12.nm,14,126.0,2.357142857142857,0.18633866133866134,0.0
43,FAMA-REAL-FM-13.nm,12,24.0,2.5,0.24057239057239058,0.0
44,FAMA-REAL-FM-14.nm,18,396.0,2.0,0.1215686274509804,0.0
45,FAMA-REAL-FM-15.nm,25,240.0,2.44,0.1072421637679411,0.0
46,FAMA-REAL-FM-16.nm,26,22680.0,5.8076923076923075,0.23230769230769235,0.5769230769230769
47,FAMA-REAL-FM-17.nm,25,1384.0,2.12,0.09189964040536122,0.0
48,FAMA-REAL-FM-18.nm,44,5.568156E7,6.2727272727272725,0.14719638345205568,1.4090909090909092
49,FAMA-REAL-FM-19.nm,30,312.0,1.6,0.05558292282430213,0.0
50,FAMA-REAL-FM-2.nm,23,1056.0,3.782608695652174,0.18071958552507747,0.6956521739130435
51,FAMA-REAL-FM-20.nm,44,80658.0,1.0227272727272727,0.025134834062405943,1.0681818181818181
52,FAMA-REAL-FM-3.nm,43,2120800.0,2.511627906976744,0.0600237121447976,1.441860465116279
53,FAMA-REAL-FM-5.nm,20,132.0,4.4,NaN,0.0
54,FAMA-REAL-FM-6.nm,11,14.0,1.8181818181818181,0.2100649350649351,0.0
55,FAMA-REAL-FM-7.nm,14,80.0,1.4285714285714286,0.1175213675213675,1.0714285714285714
56,FAMA-REAL-FM-8.nm,17,28.0,3.0588235294117645,0.19264705882352942,0.0
57,FAMA-REAL-FM-9.nm,14,68.0,2.642857142857143,0.208957708957709,0.0
58,FAMA-smart_home_fm.nm,35,1048576.0,19.428571428571427,0.5714285714285713,0.42857142857142855
59,FAMA-stack_fm.nm,17,432.0,2.411764705882353,0.1585434173669468,0.0
