testname;#prods;startTime;EndTime;Time;equal
model_20110925_62365838;336;22:04:01:019;22:04:01:070;51;true
model_20110926_608554224;14;22:04:02:592;22:04:02:598;6;true
model_20111020_455520177;120;22:04:04:058;22:04:04:063;5;true
model_20111025_1408959776;63;22:04:05:528;22:04:05:531;3;true
model_20111027_1380540076;20;22:04:06:704;22:04:06:705;1;true
model_20111027_668940289_MultMand;48;22:04:07:916;22:04:07:922;6;true
model_20111027_966072474;16;22:04:09:202;22:04:09:203;1;true
model_20111129_1932950448;96;22:04:10:416;22:04:10:419;3;true
model_20111214_733452875;4;22:04:11:667;22:04:11:668;1;true
model_20111220_1184087779;48;22:04:12:887;22:04:12:892;5;true
model_20120109_1808102333;24;22:04:14:227;22:04:14:229;1;true
model_20120110_1754443954;20;22:04:15:550;22:04:15:553;2;true
model_20120111_1667229430;160;22:04:16:942;22:04:16:955;13;true
model_20120113_1950870026;9;22:04:18:402;22:04:18:403;1;true
model_20120122_258977494;72;22:04:19:873;22:04:19:880;7;true
model_20120124_94644767;240;22:04:21:487;22:04:21:493;6;true
