"","#features","#attributes","#binary constraints","#edges in BIG","#edges in Mutex graph","#mandatory relations","#mutex groups","#or groups","#xor groups","#implies","#excludes","#complex constraints","#cross tree constraints","#variables","#configurations","#distinct configurations","max domain size","real max domain size","enable or groups","Synthesis","Domain extraction","Feature and attribute extraction","Binary implications","Sicstus","alternative","Implication and Mutex graph","Hierarchy","Place attributes","Mandatory features","Feature groups","Mutex","Or","Xor","Group processing","Cross tree constraints","Binary implies","Binary excludes","Complex constraints","AFM construction"
"1",2,9,839,1,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",1064,26,4,901,476,123,8,10,2,1,8,3,1,0,3,101,2,1,98,0
"2",3,8,684,2,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",1008,25,5,858,452,113,8,11,3,0,9,4,0,1,3,87,2,1,84,1
"3",3,8,684,2,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",1226,25,4,1072,642,113,14,13,3,0,8,4,0,0,3,86,2,1,83,1
"4",3,8,6444,2,0,0,0,0,0,0,0,0,0,10,10000,10000,100,100,"false",8012,102,4,7162,5227,572,10,10,4,1,8,3,0,1,3,708,2,1,705,1
"5",3,8,12844,2,0,0,0,0,0,0,0,0,0,10,10000,10000,200,200,"false",15614,99,4,13479,9156,1046,12,11,5,1,8,3,0,1,3,1991,2,1,1988,1
"6",4,7,545,3,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",947,23,5,810,427,104,8,11,3,0,8,4,0,0,3,77,3,1,73,1
"7",4,7,545,3,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",968,25,5,829,444,104,8,11,2,1,8,3,0,1,3,78,2,1,75,1
"8",4,7,545,3,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",979,24,5,840,452,108,8,10,3,0,8,4,0,0,3,79,2,1,76,1
"9",4,7,545,3,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",1300,24,5,1162,777,104,8,11,2,1,8,3,1,0,3,78,2,1,75,1
"10",4,7,2505,3,0,0,0,0,0,0,0,23,23,10,10000,10000,50,50,"false",5164,82,4,4797,3661,405,9,10,3,1,8,3,0,1,2,250,2,1,247,0
"11",4,7,4955,3,0,0,0,0,0,0,0,0,0,10,10000,10000,100,100,"false",6848,91,5,6163,4419,518,10,11,4,0,8,3,1,0,3,555,2,1,552,1
"12",4,7,4955,3,0,0,0,0,0,0,0,0,0,10,10000,10000,100,100,"false",7585,96,4,6887,5144,663,10,11,3,1,8,3,1,0,3,564,2,1,561,1
"13",4,7,9855,3,0,0,0,0,0,0,0,0,0,10,10000,10000,200,200,"false",15223,86,4,13554,10327,611,12,11,5,1,8,3,0,1,3,1539,2,1,1536,1
"14",5,6,242,4,0,0,0,0,0,0,0,0,0,10,10000,9811,5,5,"false",3169,47,4,3022,2466,183,13,22,2,1,8,3,1,0,3,48,6,1,41,1
"15",5,6,242,4,0,0,0,0,0,0,0,0,0,10,10000,9831,5,5,"false",3109,48,4,2967,2411,185,9,18,3,0,8,4,0,0,3,50,6,1,43,1
"16",5,6,422,4,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",908,23,5,779,407,113,7,11,3,0,9,4,0,1,2,70,4,1,65,0
"17",5,6,422,4,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",910,24,5,782,413,112,8,11,3,0,8,4,0,0,3,69,5,1,63,0
"18",5,6,422,4,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",927,23,5,798,426,115,8,11,3,0,9,4,0,1,2,69,4,2,63,0
"19",5,6,422,4,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",937,23,4,810,445,107,8,11,2,1,8,3,1,0,3,68,5,1,62,1
"20",5,6,422,4,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",946,23,5,817,443,115,8,12,2,1,8,3,0,1,3,68,4,2,62,1
"21",5,6,422,4,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",1121,23,5,989,598,111,8,16,2,1,8,3,1,0,3,67,5,2,60,1
"22",5,6,422,4,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",1159,23,4,1019,646,106,9,25,2,1,8,3,1,0,3,67,5,2,60,1
"23",5,6,422,4,0,0,0,0,0,0,0,0,0,10,10000,9997,10,10,"false",2641,67,4,2469,1858,218,8,11,3,1,8,3,0,1,3,69,5,1,63,1
"24",5,6,7262,4,0,0,0,0,0,0,0,0,0,10,10000,10000,200,200,"false",12974,84,4,11701,8997,759,10,11,4,1,8,3,0,1,3,1148,4,1,1143,1
"25",5,6,36364,4,0,0,0,0,0,0,0,0,0,10,10000,10000,1000,1000,"false",153233,90,4,118864,85063,625,17,11,11,0,9,4,0,1,3,34223,4,2,34217,1
"26",5,6,36379,4,0,0,0,0,0,0,0,0,0,10,10000,10000,1000,1000,"false",147417,92,4,112949,81466,829,16,11,10,0,8,4,0,0,3,34321,5,1,34315,1
"27",5,6,36382,4,0,0,0,0,0,0,0,0,0,10,10000,10000,1000,1000,"false",159812,89,4,120879,88096,847,17,11,11,1,8,3,0,1,3,38787,4,1,38782,1
"28",6,5,315,5,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",1099,19,4,969,598,106,12,22,2,1,8,3,1,0,3,61,6,1,54,1
"29",6,5,315,5,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",1126,22,5,1008,664,107,8,12,2,1,8,3,1,0,3,59,6,1,52,0
"30",6,5,315,5,0,0,0,0,0,0,0,0,0,10,10000,9978,10,10,"false",2600,58,4,2445,1856,211,8,12,3,0,9,4,0,1,3,60,4,2,54,1
"31",6,5,315,5,0,0,0,0,0,0,0,0,0,10,10000,9983,10,10,"false",2499,60,4,2340,1750,205,8,11,3,0,9,4,0,1,3,62,5,1,56,1
"32",6,5,315,5,0,0,0,0,0,0,0,0,0,10,10000,9988,10,10,"false",2450,59,5,2291,1680,221,8,13,2,1,9,4,0,0,4,61,5,1,55,1
"33",6,5,565,5,0,0,0,0,0,0,0,0,0,10,10000,9998,20,20,"false",2781,66,4,2585,1851,279,8,12,3,0,9,4,0,1,3,93,5,1,87,1
"34",6,5,565,5,0,0,0,0,0,0,0,0,0,10,10000,9999,20,20,"false",2977,91,4,2762,2050,267,8,11,3,0,9,4,0,1,3,87,5,1,81,1
"35",6,5,1315,5,0,0,0,0,0,0,0,10,10,10,10000,10000,50,50,"false",3924,85,4,3612,2657,332,9,11,3,1,8,3,1,0,3,189,5,2,182,1
"36",6,5,2565,5,0,0,0,0,0,0,0,0,0,10,10000,10000,100,100,"false",5845,93,4,5384,4135,417,9,11,3,0,9,4,0,1,3,331,4,2,325,1
"37",6,5,5065,5,0,0,0,0,0,0,0,0,0,10,10000,10000,200,200,"false",9518,94,4,8372,6170,571,10,12,4,0,9,4,0,1,3,1012,4,2,1006,1
"38",6,5,12565,5,0,0,0,0,0,0,0,0,0,10,10000,10000,500,500,"false",29560,86,5,24741,18389,511,13,11,6,1,8,3,1,0,3,4686,5,1,4680,1
"39",7,4,144,6,0,0,0,0,0,0,0,0,0,10,10000,8898,5,5,"false",3217,46,4,3085,2523,203,18,22,2,1,8,4,0,0,3,30,2,2,26,0
"40",7,4,224,6,0,0,0,0,0,0,0,0,0,10,1000,999,10,10,"false",835,22,5,730,408,104,8,14,3,0,9,4,0,1,3,44,2,1,41,0
"41",7,4,224,6,0,0,0,0,0,0,0,0,0,10,1000,999,10,10,"false",868,22,4,763,439,103,8,14,2,1,8,4,0,0,3,45,3,1,41,1
"42",7,4,224,6,0,0,0,0,0,0,0,0,0,10,1000,1000,10,10,"false",818,22,5,713,395,101,8,14,3,0,9,4,0,1,3,43,2,1,40,1
"43",7,4,224,6,0,0,0,0,0,0,0,0,0,10,10000,9922,10,10,"false",2530,62,4,2381,1802,208,8,15,3,0,9,4,0,1,3,47,2,1,44,1
"44",7,4,384,6,0,0,0,0,0,0,0,0,0,10,10000,9995,20,20,"false",2851,60,4,2680,2025,231,8,14,2,1,9,4,0,1,2,71,2,1,68,1
"45",7,4,384,6,0,0,0,0,0,0,0,0,0,10,10000,9998,20,20,"false",3004,62,4,2832,2174,238,8,15,2,1,8,4,0,0,3,70,3,1,66,1
"46",7,4,864,6,0,0,0,0,0,0,0,6,6,10,10000,10000,50,50,"false",3076,82,4,2821,1966,297,9,14,2,1,9,4,0,0,3,133,2,1,130,1
"47",7,4,1664,6,0,0,0,0,0,0,0,0,0,10,10000,10000,100,100,"false",3837,89,4,3470,2388,378,9,14,2,1,8,4,0,0,3,239,2,2,235,1
"48",7,4,3264,6,0,0,0,0,0,0,0,0,0,10,10000,10000,200,200,"false",6163,92,5,5499,3719,680,9,14,3,1,8,4,0,0,3,530,3,1,526,0
"49",7,4,8065,6,0,0,0,0,0,0,0,0,0,10,10000,10000,500,500,"false",16684,88,4,13954,9590,461,11,14,5,0,8,4,0,0,3,2599,3,1,2595,1
"50",7,4,8065,6,0,0,0,0,0,0,0,0,0,10,10000,10000,500,500,"false",16815,87,4,14078,9654,462,11,14,5,1,8,3,1,0,3,2604,2,2,2600,1
"51",7,4,8067,6,0,0,0,0,0,0,0,0,0,10,10000,10000,500,500,"false",16961,83,5,14221,9482,855,11,14,4,1,8,4,0,0,3,2612,2,2,2608,1
"52",7,4,16394,6,0,0,0,0,0,0,0,0,0,10,10000,10000,1000,1000,"false",57765,89,4,46749,31107,529,14,14,8,0,9,4,0,1,3,10874,2,1,10871,1
"53",7,4,16396,6,0,0,0,0,0,0,0,0,0,10,10000,10000,1000,1000,"false",59257,100,4,48330,34197,1615,14,14,8,0,9,4,0,1,3,10774,2,1,10771,1
"54",7,14,2154,6,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1773,31,4,1534,831,216,8,15,3,1,8,3,1,0,3,168,2,1,164,0
"55",8,3,104,7,0,0,0,0,0,0,0,0,0,10,10000,7428,5,5,"false",2583,42,4,2451,1780,147,16,19,2,1,8,3,1,0,3,23,2,2,19,1
"56",8,3,104,7,0,0,0,0,0,0,0,0,0,10,10000,7447,5,5,"false",3112,43,4,2993,2501,147,8,30,3,0,9,4,0,1,3,21,2,1,18,0
"57",8,3,149,7,0,0,0,0,0,0,0,0,0,10,1000,992,10,10,"false",818,21,5,722,418,98,8,14,3,0,9,4,1,0,3,35,2,2,31,1
"58",8,3,149,7,0,0,0,0,0,0,0,0,0,10,1000,996,10,10,"false",800,20,5,705,408,96,7,15,2,1,8,4,0,1,2,36,3,1,32,1
"59",8,3,149,7,0,0,0,0,0,0,0,0,0,10,1000,996,10,10,"false",1411,20,5,1316,1019,96,8,15,2,1,8,4,0,0,3,35,2,2,31,1
"60",8,3,149,7,0,0,0,0,0,0,0,0,0,10,1000,999,10,10,"false",1025,20,5,909,595,95,8,32,3,0,9,4,0,1,3,38,2,1,35,0
"61",8,3,239,7,0,0,0,0,0,0,0,0,0,10,10000,9949,20,20,"false",2766,60,4,2612,1984,229,8,15,2,1,8,4,0,0,3,55,3,1,51,0
"62",8,3,509,7,0,0,0,0,0,0,0,4,4,10,10000,9999,50,50,"false",2803,77,4,2591,1830,271,9,14,2,1,9,4,0,1,3,94,2,1,91,1
"63",8,3,4560,7,0,0,0,0,0,0,0,0,0,10,10000,10000,500,500,"false",11419,80,4,9923,7171,436,10,14,3,1,9,4,0,1,3,1373,2,1,1370,1
"64",8,13,1899,7,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1629,30,4,1407,728,214,9,14,4,0,9,4,1,0,3,151,3,1,147,1
"65",8,13,1899,7,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1679,30,4,1455,776,214,9,15,3,1,9,4,0,1,3,152,2,1,149,1
"66",9,2,90,8,0,0,0,0,0,0,0,0,0,10,1000,980,10,10,"false",779,19,5,695,419,91,8,15,2,0,9,5,0,0,3,25,3,1,21,1
"67",9,2,90,8,0,0,0,0,0,0,0,0,0,10,1000,988,10,10,"false",1005,19,5,921,646,90,8,15,2,0,9,4,1,0,3,25,2,2,21,1
"68",9,2,250,8,0,0,0,0,0,0,0,0,0,10,10000,9937,50,50,"false",2797,50,4,2641,1944,244,8,15,2,1,9,4,0,1,3,67,2,1,64,0
"69",9,12,1660,8,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1573,30,4,1368,704,207,9,14,4,0,9,5,0,0,3,134,2,1,131,0
"70",9,12,1660,8,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1691,29,4,1486,818,208,9,15,3,1,9,4,0,1,3,133,2,2,129,1
"71",9,12,1660,8,0,0,0,0,0,0,0,1,1,20,1000,1000,10,10,"false",1681,30,4,1468,802,209,9,15,3,0,9,4,1,0,3,141,3,1,137,1
"72",10,11,1437,9,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1532,27,4,1342,710,200,8,14,4,0,10,5,0,0,2,120,2,1,117,0
"73",10,11,1437,9,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1577,27,4,1384,738,203,9,15,3,1,9,4,1,0,3,123,3,1,119,1
"74",10,11,1437,9,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1581,28,4,1390,746,202,9,15,3,1,9,4,1,0,3,121,3,1,117,1
"75",10,11,1437,9,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1595,27,5,1400,756,201,9,15,4,0,10,5,0,1,3,123,2,1,120,1
"76",10,11,1437,9,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1613,28,4,1422,777,203,9,15,3,1,9,4,1,0,3,122,2,2,117,0
"77",11,10,1230,10,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1478,27,4,1305,690,193,9,15,3,1,9,5,0,0,3,103,2,1,100,1
"78",11,10,1230,10,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1510,27,4,1338,725,199,8,15,4,0,10,5,0,1,3,103,2,2,99,1
"79",12,9,1039,11,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1440,27,4,1277,684,188,9,15,4,1,9,5,0,0,3,93,3,1,89,1
"80",12,9,1039,11,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1480,26,4,1319,729,190,8,16,4,0,10,5,1,0,3,92,3,1,88,0
"81",13,8,864,12,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1387,26,4,1232,668,181,8,16,4,0,10,5,1,0,3,87,3,1,83,0
"82",13,8,864,12,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1411,26,4,1254,697,180,9,16,3,1,10,5,0,1,3,87,2,2,83,1
"83",13,8,864,12,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1462,26,3,1307,743,181,8,16,4,0,10,6,0,0,3,87,3,1,83,0
"84",13,8,864,12,0,0,0,0,0,0,0,1,1,20,1000,1000,10,10,"false",1435,26,4,1279,705,182,8,16,4,0,10,5,1,0,3,87,3,1,83,1
"85",14,7,705,13,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1363,24,4,1222,688,170,8,16,3,1,10,5,1,0,3,74,3,1,70,1
"86",14,7,705,13,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1366,25,4,1221,690,167,8,16,4,0,11,6,0,1,3,75,2,1,72,1
"87",15,6,562,14,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1347,23,4,1213,701,160,8,17,3,1,10,6,0,0,3,66,3,1,62,1
"88",15,36,14032,14,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"false",4665,51,4,4141,2553,659,14,17,11,1,11,6,0,1,3,413,3,1,409,1
"89",15,36,14032,14,0,0,0,0,0,0,0,72,72,50,500,500,10,10,"false",3404,37,5,2908,1517,515,13,17,9,1,11,6,0,1,2,401,2,1,398,1
"90",16,5,435,15,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1234,23,4,1112,629,162,8,17,3,1,11,6,0,0,3,55,2,2,51,0
"91",16,5,435,15,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1248,23,3,1123,644,159,8,17,3,0,11,7,0,0,3,56,3,1,52,1
"92",16,5,435,15,0,0,0,0,0,0,0,0,0,20,1000,1000,10,10,"false",1271,23,4,1147,666,159,9,17,3,1,11,6,0,1,3,55,3,1,51,1
"93",18,33,12079,17,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"false",4628,49,4,4134,2553,683,15,15,9,1,12,7,0,1,3,386,3,1,382,1
"94",19,32,11460,18,0,0,0,0,0,0,0,0,0,50,5000,5000,10,10,"false",19370,85,5,18864,15313,2416,15,15,11,0,12,7,1,0,3,361,3,1,357,1
"95",19,32,12203,18,0,0,0,0,0,0,0,317,317,50,50,50,10,10,"false",2302,12,4,1910,659,318,16,16,10,0,12,8,0,0,3,321,3,1,317,1
"96",20,31,10857,19,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"false",4618,50,4,4146,2614,677,15,16,10,0,13,8,0,1,3,361,3,1,357,1
"97",20,31,10904,19,0,0,0,0,0,0,0,203,203,50,100,100,10,10,"false",2297,14,4,1891,696,320,15,16,9,0,13,8,1,0,3,334,3,1,330,1
"98",21,30,10270,20,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"false",4576,50,4,4136,2622,671,14,17,10,1,12,8,0,0,3,329,3,2,324,1
"99",21,30,10270,20,0,0,0,0,0,0,0,0,0,50,2000,2000,10,10,"false",7293,59,4,6851,4735,1181,15,16,11,1,13,8,0,1,3,321,3,1,317,1
"100",21,30,10270,20,0,0,0,0,0,0,0,0,0,50,100000,100000,10,10,"false",614253,1123,5,612713,506752,100766,14,17,11,0,13,8,1,0,3,354,3,1,350,1
"101",21,30,10270,20,0,0,0,0,0,0,0,384,384,50,200,200,10,10,"false",2483,46,6,2044,850,371,15,16,10,1,13,8,0,1,3,330,3,1,326,1
"102",21,30,11921,21,0,0,0,0,0,1,0,690,691,50,20,20,10,10,"false",2105,9,5,1709,550,297,16,16,11,0,13,8,1,0,3,325,3,2,320,1
"103",22,29,9699,21,0,0,0,0,0,0,0,0,0,50,50000,50000,10,10,"false",282398,575,5,281436,237629,40872,15,17,10,0,14,9,0,1,3,324,3,1,320,1
"104",22,29,9699,21,0,0,0,0,0,0,0,56,56,50,500,500,10,10,"false",3079,35,4,2640,1358,468,15,18,11,0,26,9,1,0,15,328,3,2,323,1
"105",22,29,10198,42,15,0,3,0,0,14,12,1056,1082,50,10,10,10,8,"false",1925,7,5,1550,470,289,19,17,9,1,26,20,0,3,2,290,3,4,283,1
"106",22,29,11440,21,0,0,0,0,0,0,0,619,619,50,20,20,10,10,"false",2083,9,5,1700,544,303,15,17,11,1,13,9,0,0,3,311,3,2,306,1
"107",23,28,7493,125,28,4,1,0,0,74,27,1649,1750,50,5,5,10,5,"false",3220,6,5,2825,1898,256,30,68,10,2,37,30,0,3,3,234,5,4,225,1
"108",23,28,9144,22,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"false",4392,49,5,3954,2478,642,14,18,10,1,14,9,0,1,3,325,3,1,321,1
"109",23,28,9144,22,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"false",4480,51,4,4035,2504,684,15,18,11,1,14,9,1,0,3,330,3,2,325,1
"110",23,28,9144,22,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"false",4547,48,5,4109,2604,658,14,18,10,1,14,9,1,0,3,325,3,2,320,1
"111",23,28,9144,22,0,0,0,0,0,0,0,0,0,50,2000,2000,10,10,"false",7222,58,4,6788,4748,1119,15,18,10,1,14,9,0,1,3,313,3,1,309,1
"112",23,28,9144,22,0,0,0,0,0,0,0,0,0,50,10000,10000,10,10,"false",40165,124,4,39657,33749,4626,15,17,10,1,14,9,1,0,3,322,3,1,317,0
"113",23,28,9144,22,0,0,0,0,0,0,0,0,0,50,10000,10000,10,10,"false",41129,126,4,40631,34306,5067,14,18,8,1,14,9,1,0,3,311,3,1,307,1
"114",23,28,9144,22,0,0,0,0,0,0,0,0,0,50,50000,50000,10,10,"false",285564,582,4,284599,238381,43241,15,17,11,0,14,9,1,0,3,319,3,2,314,1
"115",23,28,9144,22,0,0,0,0,0,0,0,0,0,50,100000,100000,10,10,"false",568303,1110,5,566817,481968,79774,15,18,9,1,14,9,1,0,3,311,3,1,307,1
"116",23,28,9144,22,0,0,0,0,0,0,0,305,305,50,200,200,10,10,"false",2397,44,6,1982,834,344,14,17,10,1,14,9,0,1,3,306,3,1,302,1
"117",24,27,7123,126,33,1,1,0,0,71,32,1301,1404,50,5,5,10,5,"false",1879,6,6,1496,581,243,40,27,10,1,45,37,0,2,4,226,5,4,217,1
"118",24,27,8605,23,0,0,0,0,0,0,0,0,0,50,100000,100000,10,10,"false",549297,1110,5,547821,459295,83350,14,18,10,0,15,10,0,1,3,302,2,1,298,1
"119",24,27,8605,23,0,0,0,0,0,0,0,1,1,50,1000,1000,10,10,"false",4323,49,5,3891,2400,664,14,18,10,1,14,9,1,0,3,319,3,1,315,1
"120",24,27,8605,23,0,0,0,0,0,0,0,1,1,50,1000,1000,10,10,"false",4426,51,4,3997,2502,676,14,18,10,1,15,10,0,1,3,315,3,1,311,0
"121",24,27,8605,23,0,0,0,0,0,0,0,36,36,50,500,500,10,10,"false",2938,35,4,2519,1262,463,14,18,11,0,15,10,1,0,3,320,3,2,315,1
"122",24,27,8605,23,0,0,0,0,0,0,0,51,51,50,500,500,10,10,"false",2998,33,5,2578,1309,476,15,18,10,1,15,10,1,0,3,321,3,2,316,1
"123",24,27,8664,23,0,0,0,0,0,0,0,119,119,50,100,100,10,10,"false",2206,14,4,1807,675,309,14,18,10,0,15,10,0,1,3,323,3,1,319,1
"124",24,27,9107,41,6,0,0,0,0,11,6,1013,1030,50,10,10,10,8,"false",1868,7,5,1534,463,297,17,23,10,1,19,15,0,1,2,251,4,2,245,1
"125",24,27,9326,52,6,0,0,0,0,20,6,917,943,50,10,10,10,9,"false",1848,7,5,1513,445,297,23,18,10,1,19,14,1,0,3,251,3,2,246,1
"126",24,27,9611,23,0,0,0,0,0,0,0,217,217,50,50,50,10,10,"false",2174,11,4,1802,615,321,15,18,10,1,15,10,0,1,3,297,3,1,293,1
"127",25,26,6493,188,44,3,2,0,0,100,42,1389,1531,50,5,5,10,5,"false",2369,5,6,1987,1081,231,34,39,10,1,55,47,0,3,4,212,6,4,202,1
"128",25,26,8082,24,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"false",4230,49,5,3814,2323,681,14,18,10,1,15,10,1,0,3,302,3,1,298,1
"129",25,26,8082,24,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"false",4344,49,4,3936,2464,669,14,18,9,1,15,10,0,1,3,296,3,1,292,1
"130",25,26,8082,24,0,0,0,0,0,0,0,0,0,50,2000,2000,10,10,"false",7025,57,4,6607,4587,1114,14,18,10,1,15,10,1,0,3,297,3,1,293,1
"131",25,26,8082,24,0,0,0,0,0,0,0,0,0,50,5000,5000,10,10,"false",16685,86,4,16238,12620,2546,14,18,10,1,15,10,0,1,2,297,3,1,293,1
"132",25,26,8082,24,0,0,0,0,0,0,0,0,0,50,5000,5000,10,10,"false",17526,84,5,17080,13827,2203,15,18,10,1,15,10,0,1,3,297,3,1,293,1
"133",25,26,8082,24,0,0,0,0,0,0,0,1,1,50,1000,1000,10,10,"false",4259,49,5,3844,2369,656,14,19,10,0,15,10,0,1,2,300,3,1,296,1
"134",25,26,8082,24,0,0,0,0,0,0,0,338,338,50,200,200,10,10,"false",2365,44,6,1972,821,354,13,19,9,1,15,10,0,1,3,283,3,1,279,1
"135",25,26,8602,52,14,0,2,0,0,20,12,837,869,50,10,10,10,8,"false",2445,7,5,2104,1056,300,18,19,11,0,31,23,1,2,4,247,3,4,240,1
"136",25,26,10402,27,0,0,0,0,0,2,0,527,529,50,20,20,10,10,"false",1988,8,5,1625,515,295,15,22,11,0,16,11,0,1,3,283,3,2,278,1
"137",26,24,466,129,73,3,1,0,1,74,71,0,145,50,5,5,10,2,"false",925,6,18,749,474,78,36,25,6,1,69,61,0,3,3,13,4,5,3,1
"138",26,25,7575,25,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"false",3712,50,5,3310,1845,653,14,19,8,1,15,11,0,0,3,288,4,1,283,1
"139",26,25,7575,25,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"false",4272,50,5,3869,2421,640,13,20,9,1,15,11,0,0,3,288,3,2,283,1
"140",26,25,7575,25,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"false",4354,50,4,3945,2489,665,14,19,10,1,15,11,0,0,3,294,4,1,289,1
"141",26,25,7575,25,0,0,0,0,0,0,0,0,0,50,1000,1000,10,10,"false",4410,49,5,4007,2543,675,14,20,10,1,15,10,1,0,3,287,3,2,282,1
"142",26,25,7575,25,0,0,0,0,0,0,0,0,0,50,20000,20000,10,10,"false",93562,238,5,92963,76660,14539,14,19,10,0,16,11,1,0,3,296,3,1,292,1
"143",26,25,7575,25,0,0,0,0,0,0,0,0,0,50,20000,20000,10,10,"false",95684,229,5,95102,76848,16501,14,19,13,1,15,10,1,0,3,285,3,2,280,1
