"","#features","#attributes","#binary constraints","#edges in BIG","#edges in Mutex graph","#mandatory relations","#mutex groups","#or groups","#xor groups","#implies","#excludes","#complex constraints","#cross tree constraints","#variables","#configurations","#distinct configurations","max domain size","real max domain size","enable or groups","Synthesis","Domain extraction","Feature and attribute extraction","Binary implications","Sicstus","Implication and Mutex graph","Hierarchy","Place attributes","Mandatory features","Feature groups","Mutex","Or","Xor","Group processing","Cross tree constraints","Binary implies","Binary excludes","Complex constraints","AFM construction","#output configurations","product generation stopped"
"4047",31,20,5373,30,0,0,0,0,0,0,0,75,75,50,100,100,10,10,"false",2118,17,6,1668,925,19,29,14,1,25,18,1,0,4,337,3,2,332,1,NA,NA
"4048",31,20,5905,229,79,5,0,0,1,113,78,841,1032,50,5,5,10,5,"false",1649,7,7,1193,630,36,37,19,2,94,85,1,3,3,252,7,7,238,1,NA,NA
"4049",31,20,5952,247,92,4,0,0,0,158,92,1021,1271,50,5,5,10,5,"false",2436,7,7,1516,902,55,325,20,2,106,99,1,1,4,250,5,6,239,1,NA,NA
"4050",31,20,6073,30,0,0,0,0,0,0,0,168,168,50,50,50,10,10,"false",2055,13,6,1616,837,19,29,15,1,23,16,1,0,5,332,4,1,327,1,NA,NA
"4051",31,20,6091,30,0,0,0,0,0,0,0,166,166,50,50,50,10,10,"false",2023,12,6,1587,811,19,28,15,1,24,17,1,0,5,328,4,1,323,1,NA,NA
"4052",31,20,6104,30,0,0,0,0,0,0,0,139,139,50,50,50,10,10,"false",2041,12,6,1601,832,19,29,15,1,25,18,1,0,4,330,3,2,325,1,NA,NA
"4053",31,20,6139,30,0,0,0,0,0,0,0,178,178,50,50,50,10,10,"false",2067,13,6,1626,851,20,28,15,1,25,18,1,0,4,332,3,2,326,1,NA,NA
"4054",31,20,6174,30,0,0,0,0,0,0,0,161,161,50,50,50,10,10,"false",2048,12,6,1607,829,19,28,15,1,24,17,1,0,5,333,4,1,328,1,NA,NA
"4055",31,20,6255,30,0,0,0,0,0,0,0,149,149,50,50,50,10,10,"false",2059,13,6,1616,836,19,29,15,1,23,17,0,1,4,335,4,2,329,1,NA,NA
"4056",31,20,6622,75,11,0,0,0,0,29,11,591,631,50,10,10,10,9,"false",1770,9,6,1337,678,22,31,16,8,37,30,1,0,4,302,5,3,294,1,NA,NA
"4057",31,20,6750,66,17,0,1,0,1,26,15,539,580,50,10,10,10,8,"false",1779,9,6,1334,668,23,38,16,1,48,39,0,3,4,303,5,4,294,1,NA,NA
"4058",31,20,6759,70,15,0,1,0,1,31,13,584,628,50,10,10,10,8,"false",1777,8,6,1335,665,23,37,16,1,45,36,0,3,4,303,4,5,294,1,NA,NA
"4059",31,20,6893,56,17,0,2,0,0,19,15,522,556,50,10,10,10,9,"false",1799,8,6,1348,679,30,30,15,1,48,38,0,3,5,309,4,5,300,2,NA,NA
