testname;#prods;startTime;EndTime;Time;equal
model_20100308_1355834007;1248;18:52:29:684;18:52:30:191;507;true
model_20100322_955726153;162;18:52:31:513;18:52:31:539;26;true
model_20100324_1996898492;32;18:52:33:028;18:52:33:029;1;true
model_20100325_298677687;48;18:52:34:269;18:52:34:270;1;true
model_20100326_770562654;1152;18:52:35:510;18:52:35:602;92;true
model_20100412_337845737;1;18:52:36:953;18:52:36:954;1;true
model_20100416_811483774;28;18:52:38:153;18:52:38:156;3;true
model_20100529_1010171189;1152;18:52:39:548;18:52:39:565;17;true
model_20100607_746327867;448;18:52:40:914;18:52:40:925;11;true
model_20100624_2076952989;308;18:52:42:164;18:52:42:176;12;true
model_20100625_251719781;3150;18:52:43:679;18:52:43:975;296;true
model_20100712_329430908;640;18:52:45:366;18:52:45:380;14;true
model_20100805_1484639410;3712;18:52:47:020;18:52:47:290;270;true
model_20100822_281357717;36;18:52:49:060;18:52:49:064;4;true
model_20100824_837146809;1216;18:52:50:950;18:52:51:088;138;true
model_20100904_330653656;12;18:52:53:058;18:52:53:059;1;true
