testname;#prods;startTime;EndTime;Time;equal
model_20110203_1382675896;64;20:31:33:103;20:31:33:123;20;true
model_20110203_2097159983;896;20:31:34:790;20:31:34:929;139;true
model_20110207_1623721536;90;20:31:36:340;20:31:36:359;19;true
model_20110207_906076676;9;20:31:37:877;20:31:37:878;1;true
model_20110216_1027109687;200;20:31:39:072;20:31:39:094;22;true
model_20110216_608697455;640;20:31:40:379;20:31:40:426;47;true
model_20110301_216655728;2;20:31:41:634;20:31:41:634;0;true
model_20110306_314567479;248;20:31:42:843;20:31:42:847;4;true
model_20110310_1849309646;810;20:31:44:136;20:31:44:179;42;true
model_20110318_225131257;4;20:31:45:420;20:31:45:421;1;true
model_20110323_789959080;120;20:31:46:732;20:31:46:735;3;true
model_20110328_1177934440;6;20:31:48:059;20:31:48:060;1;true
model_20110330_919429247;5796;20:31:49:956;20:31:50:320;364;true
model_20110401_868452735;72;20:31:51:847;20:31:51:849;2;true
model_20110406_656545830;96;20:31:53:526;20:31:53:528;2;true
model_20110428_553405269;144;20:31:55:306;20:31:55:325;19;true
