; License; License_Commercial; License_NoLimit; License_GPL; License_GPL2; Language; Language_Java; Language_Python; Language_PHP; Language_Perl; Storage; Storage_DB; Storage_Files; Storage_FilesRCS; LicenseCostFree; LicenseCostFree_US10; LicenseCostFree_DifferentLicenses; LicenseCostFree_Community; RSS; Unicode;
Confluence;x;x;;;;x;x;;;;x;x;;;;x;;;x;x;
Pbwiki;x;;x;;;;;;;;;;;;x;;;;x;;
MoinMoin;x;;;x;;x;;x;;;x;;x;;;;;;x;x;
DokuWiki;x;;;;x;x;;;x;;x;;x;;;;;;x;x;
PmWiki;x;;;;x;x;;;x;;x;;x;;;;;;x;x;
DrupalWiki;x;;;;x;x;;;x;;x;x;;;;;x;;x;x;
Twiki;x;;;x;;x;;;;x;x;;;x;;;;x;x;x;
MediaWiki;x;;;x;;x;;;x;;x;x;;;;;;;x;x;
